LD1, LD2,class
0.99202,5.9862,0.0
0.32409,4.12987,0.0
-0.34058,4.67918,0.0
-0.01743,3.64535,0.0
-0.27589,3.04799,0.0
-0.99784,3.96783,0.0
-0.94942,5.11431,0.0
-1.39744,4.68202,0.0
-1.26763,4.78468,0.0
-1.35701,4.71587,0.0
-1.473,5.1333,0.0
-1.03408,4.71666,0.0
-1.52983,4.39216,0.0
-2.20464,5.22952,0.0
-1.58151,5.04678,0.0
-1.36293,5.02414,0.0
-1.43642,4.7942,0.0
-1.68522,5.16753,0.0
-1.25515,5.08304,0.0
-1.42789,6.08219,0.0
-1.49105,5.08717,0.0
-1.40667,5.85163,0.0
-0.25314,4.86595,0.0
-1.40476,4.85293,0.0
-1.66998,5.24639,0.0
-0.78746,4.84884,0.0
-1.0824,5.14456,0.0
-0.9759,5.15669,0.0
-0.95043,5.25527,0.0
-0.97509,6.28606,0.0
-1.14544,4.89233,0.0
-1.05772,4.6973,0.0
-1.26545,4.73924,0.0
-1.04097,4.62132,0.0
-1.3147,4.03483,0.0
-1.16093,3.71873,0.0
-1.13094,4.25976,0.0
-1.64824,4.8132,0.0
-0.91353,4.06643,0.0
-1.06358,3.89268,0.0
-0.74114,4.24109,0.0
-0.78207,3.74889,0.0
-0.89627,4.5885,0.0
-1.67212,3.97681,0.0
-0.67041,4.1514,0.0
-0.91374,4.64706,0.0
0.04518,4.10813,0.0
-0.04897,3.9539,0.0
-1.04875,4.7713,0.0
-0.87836,4.69735,0.0
-2.19751,2.09746,0.0
-2.60995,2.77503,0.0
-0.75024,2.76835,0.0
-1.75567,2.04127,0.0
-0.48948,2.34505,0.0
-0.84894,3.05514,0.0
-2.74281,1.52712,0.0
-0.28259,2.47217,0.0
-1.00426,2.31793,0.0
-1.13892,2.39477,0.0
-0.46349,2.47667,0.0
-0.76942,3.4882,0.0
-1.10787,3.2113,0.0
-1.88841,3.55169,0.0
-2.21396,4.5703,0.0
-1.1053,3.94667,0.0
-1.43394,3.12985,0.0
-2.1507,3.00251,0.0
-1.10926,3.12061,0.0
-0.50372,3.62566,0.0
-2.17604,2.53687,0.0
-1.37119,3.07926,0.0
-0.80613,0.88423,0.0
-1.49469,1.46192,0.0
-0.69117,1.4822,0.0
-1.34682,1.04754,0.0
-0.71903,2.06786,0.0
-0.80385,2.10585,0.0
-0.63107,1.00006,0.0
-1.26753,2.04896,0.0
-2.62822,1.69231,0.0
-0.46047,2.3148,0.0
-1.41433,0.74736,0.0
-2.45438,1.2341,0.0
-2.77521,1.64901,0.0
-1.78787,0.48115,0.0
-2.16191,-0.06851,0.0
-2.30569,-0.46525,0.0
-1.85328,0.13723,0.0
-2.0275,-0.17327,0.0
-0.65006,1.49461,0.0
-0.46949,1.373,0.0
-2.09266,2.28769,0.0
-3.08204,0.05977,0.0
-0.82613,2.28468,0.0
-0.71587,1.95808,0.0
-0.35014,2.65342,0.0
-1.57705,0.50855,0.0
-1.86139,-0.06205,0.0
-2.01366,0.82829,0.0
-0.95041,3.01822,0.0
-2.507,1.76438,0.0
-1.57992,2.71243,0.0
-1.28353,4.09758,0.0
-2.05995,1.5321,0.0
-1.53645,3.63454,0.0
-2.5106,2.17934,0.0
-4.12147,2.55621,0.0
-3.10121,1.05194,0.0
-0.63081,1.62214,0.0
-0.91233,2.24581,0.0
-2.78322,1.61791,0.0
-1.93574,3.45362,0.0
-1.13065,2.37305,0.0
-2.38515,4.59417,0.0
-3.60211,5.57629,0.0
-3.4787,6.40526,0.0
-2.50955,4.00766,0.0
-1.26069,3.15081,0.0
-0.75082,4.33438,0.0
-0.43141,3.5053,0.0
-1.60525,4.36445,0.0
-1.15689,4.07013,0.0
-0.20149,4.00825,0.0
-1.87366,4.22111,0.0
-1.92665,3.88054,0.0
-0.65283,4.72251,0.0
-1.71569,5.12369,0.0
-2.01831,6.23288,0.0
-1.82953,4.3943,0.0
-0.93447,5.48996,0.0
-2.56825,5.87423,0.0
-3.24975,5.47265,0.0
-2.11025,5.11173,0.0
-2.67696,6.15253,0.0
-2.65668,6.61042,0.0
-2.05695,5.54532,0.0
-0.72776,5.21581,0.0
-1.47425,6.90563,0.0
-1.54526,4.9262,0.0
-1.62121,5.93464,0.0
-2.23325,5.7523,0.0
-1.2488,4.84893,0.0
-2.33778,6.24471,0.0
-2.46092,6.66407,0.0
-2.07837,6.32049,0.0
-1.4809,6.11341,0.0
-1.76482,5.50589,0.0
-1.78572,5.92206,0.0
-1.26574,5.78533,0.0
-2.1451,5.70377,0.0
-1.51451,5.12605,0.0
-1.1035,5.25227,0.0
-0.59433,4.91733,0.0
-1.55637,4.90369,0.0
-0.52211,6.03532,0.0
-1.52284,5.91367,0.0
-1.1903,5.38007,0.0
-1.79033,5.66369,0.0
-2.34549,5.71048,0.0
-1.7666,5.89284,0.0
-2.40919,5.83907,0.0
-2.51402,5.13858,0.0
-1.46458,4.48301,0.0
